CODE,CATEGORYCODE,NAME,CREATEDTM,CREATEDBY,LASTUPDDTM,LASTUPDBY,LASTUPDPROCESS,DELETED
SRV06,SRV,DCO_SERVICE_V3,2025-08-07 10:38:01,RIZKIW,2025-08-07 10:38:01,RIZKIW,INSERT,0,1
MST,CTC,MASTER DATA,2025-07-18 14:54:56,SIGIT P,2025-07-18 14:54:56,CREATOR,INSERT,0,2
BDB,CTC,BTBPBD DATA,2025-07-18 15:07:45,SIGIT P,2025-07-18 15:07:45,CREATOR,INSERT,0,3
SRV01,SRV,P_CTC_INSERT_BRN_V2_NEW,2025-07-18 15:31:54,SIGIT P,2025-07-18 15:31:54,CREATOR,INSERT,0,4
SRVEXC,CTC,DATA SERVICE EXCLUDE,2025-07-18 16:00:01,SIGIT P,2025-07-18 16:00:01,CREATOR,INSERT,0,5
SRV03,SRV,JNEBILL.CTC_UPDATE_BPBTBD_V2,2025-08-04 14:12:11,ABI,2025-08-04 14:12:11,ABI,INSERT,0,6
TCO,CTC,TRANSIT COST OUTBOUND,2025-06-05 15:16:56,DASRIL,2025-06-05 15:16:56,CREATOR,INSERT,0,7
DCO,CTC,DELIVERY COST OUTBOUND,2025-06-05 15:16:56,DASRIL,2025-06-05 15:16:56,CREATOR,INSERT,0,8
DCI,CTC,DELIVERY COST INBOUND,2025-06-05 15:16:56,DASRIL,2025-06-05 15:16:56,CREATOR,INSERT,0,9
DBO,CTC,DETAIL BIAYA OPERATIONAL,2025-06-05 15:16:56,DASRIL,2025-06-05 15:16:56,CREATOR,INSERT,0,10
RU,CTC,RETURN UNPAID,2025-06-05 15:16:56,DASRIL,2025-06-05 15:16:56,CREATOR,INSERT,0,11
MDE,CTC,MONITORING DOWNLOAD EXCEL,2025-06-05 15:16:56,DASRIL,2025-06-05 15:16:56,CREATOR,INSERT,0,12
UCC,CTC,UPLOAD CONOTE CTC,2025-06-05 15:16:56,DASRIL,2025-06-05 15:16:56,CREATOR,INSERT,0,13
UMG,CTC,USER MANAGEMENT,2025-06-05 15:16:56,DASRIL,2025-06-05 15:16:56,CREATOR,INSERT,0,14
ERPCTC,CTC,EXCEPTION REPORT PARAMETER CTC,2025-06-26 16:08:59,DASRIL,2025-06-26 16:08:59,CREATOR,INSERT,0,15
EXDCO,CTC,EXCEPTION DCO,2025-06-26 16:09:38,DASRIL,2025-06-26 16:09:38,CREATOR,INSERT,0,16
EXDCI,CTC,EXCEPTION DCI,2025-06-26 16:09:56,DASRIL,2025-06-26 16:09:56,CREATOR,INSERT,0,17
BA,CTC,BIAYA ANGKUT MP,2025-07-02 10:38:51,IBNU,2025-07-02 10:38:51,CREATOR,INSERT,0,18
SRV05,SRV,JNEBILL.CTC_UPDATE_DEL_JTRMTR_V2,2025-08-04 14:15:04,ABI,2025-08-04 14:15:04,ABI,INSERT,0,19
FLIGHT,CTC,DATA FLIGHT CODE,2025-08-14 17:40:51,SIGIT P,2025-08-14 17:40:51,SIGIT P,INSERT,0,20
DCOV3,CTC,DCO V3 - BTBPBD,2025-08-01 19:11:39,SIGIT P,2025-08-01 19:11:39,CREATOR,INSERT,0,21
FLIGHTSC,CTC,DATA FLIGHT SCHEDULE,2025-08-14 17:41:25,SIGIT P,2025-08-14 17:41:25,SIGIT P,INSERT,0,22
TC,CTC,TRACE CNOTE,2025-08-20 12:33:03,PANJI,2025-08-20 12:33:03,PANJI,INSERT,0,23
TCI,CTC,TRANSIT COST INBOUND,2025-06-05 15:16:56,DASRIL,2025-06-05 15:16:56,CREATOR,INSERT,0,24
DCOSA,CTC,DELIVERY COST OUTBOUND - SA,2025-06-18 00:00:00,SIGIT,2025-06-18 00:00:00,CREATOR,INSERT,1,25
SRV02,SRV,JNEBILL.CTC_INSERT_DELIVERY_BRN_V2,2025-08-04 14:08:55,ABI,2025-08-04 14:08:55,ABI,INSERT,0,26
SRV04,SRV,JNEBILL.CTC_UPDATE_DEL_JTR_V2,2025-08-04 14:13:56,ABI,2025-08-04 14:13:56,ABI,INSERT,0,27
